x,y,z,00:13:ce:8f:77:43_RSSI,00:13:ce:8f:78:d9_RSSI,00:13:ce:95:de:7e_RSSI,00:13:ce:95:e1:6f_RSSI,00:13:ce:97:78:79_RSSI
4.2,22.43,1.2,-57.970532461259204,-42.78336087509727,-69.39747641540282,-55.45408050989635,-70.75727196282232
3.0,22.43,1.2,-61.69670871522612,-41.4785315496265,-68.90867990582773,-52.81287911122834,-75.1548037513899
3.0,22.43,1.2,-60.14186416613348,-47.044005079863695,-69.00537320943766,-51.44515962697234,-75.17850336320473
3.0,22.43,1.2,-61.07972212785313,-34.02880637964039,-66.24840209464574,-52.77645883437625,
3.0,22.43,1.2,-72.30843835705681,-37.56850213648073,-73.00598273321027,-61.12417779395503,
1.8,22.43,1.2,-56.7596258785869,-37.680109350420075,-63.826773823287304,-52.42154630847026,-80.94890669701502
1.8,22.43,1.2,-60.52994393189743,-42.766822489539685,,-53.29198764824076,
1.8,22.43,1.2,-52.59882780990061,-41.74709247953005,-72.0927082235111,-58.432771926417914,-82.30843835705681
1.8,22.43,1.2,-53.05742989879393,-46.176327645137015,-66.85312041768483,-48.81231210808866,-75.4402268567553
5.4,23.43,1.2,-64.41631891284183,-33.0667039940696,-66.38632014601063,-53.04726793604046,
5.4,23.43,1.2,-59.74380060122311,-35.93294399952631,-65.04279510696983,-57.75795231803194,
5.4,23.43,1.2,-55.389096504385435,-38.51779791125087,-73.59689620509889,-57.4831032968094,
5.4,23.43,1.2,-57.32156771568653,-41.162049125840696,-68.08221448190346,-54.773526413914,
4.2,23.43,1.2,-59.242156022848185,-39.8930825046361,-61.508065724815324,-55.047861996437064,-79.01331292950846
4.2,23.43,1.2,-60.77362516409738,-41.49287186790375,-70.23141867831022,-49.38837663346148,
4.2,23.43,1.2,-68.2292509377807,-31.471281046201142,-71.75575955874767,-56.512886961819106,
4.2,23.43,1.2,-61.90025309426008,-41.8395116128186,-68.9619691425118,-54.533184274327134,
3.0,23.43,1.2,-58.578446550968124,-36.81663063514888,-68.0500974359026,-48.4806007604707,-73.21761603092823
3.0,23.43,1.2,-58.7074432332352,-37.907719214630745,-64.06883065487142,-51.94531542400267,
3.0,23.43,1.2,-67.58805337839348,-41.924473727473526,-66.37558507322575,-52.34292109249636,
3.0,23.43,1.2,-58.75270856921847,-38.17967035077293,-65.97936946234208,-52.15498381761526,-74.56450160816937
1.8,23.43,1.2,-60.73120233836668,-39.24497333313882,-67.11174938615935,-53.737902750409,-75.0
1.8,23.43,1.2,-62.27936919052736,-47.05229788244627,-64.24040482977342,-54.92098375005757,-80.57262807398911
1.8,23.43,1.2,-60.7323250982535,-42.56046681369384,-67.9875517098753,-56.79564635175544,-78.88662397842066
1.8,23.43,1.2,-59.05105556538663,-41.291162361682446,-72.02222298768221,-53.744964809991586,-78.46286890274845
5.4,24.43,1.2,-54.23869965435954,-33.67485243901985,-62.832976494338894,-62.32866505459644,-79.82598101218898
5.4,24.43,1.2,-66.74315878934058,-37.35902183278729,-70.45841076314575,-59.63222722764863,
5.4,24.43,1.2,-60.994293173542374,-33.20539087832919,-73.2292509377807,-54.85903012985297,
5.4,24.43,1.2,-60.780729931490924,-33.38564365351163,-72.11174938615935,-53.640468339958204,
5.4,24.43,1.2,-61.10039838482081,-40.572000492889316,-64.87681923924657,-56.83035702835099,
5.4,24.43,1.2,,,-65.0,,
4.2,24.43,1.2,-55.308438357056815,-35.757036157637394,-68.18365223494976,-58.85191191264798,-79.47128104620114
4.2,24.43,1.2,-61.0,-40.0,-70.0,-48.0,
4.2,24.43,1.2,-64.99463856611995,-45.866634944621424,-67.04121232070639,-58.0120748078254,
4.2,24.43,1.2,-58.77603518007948,-35.100738819993246,-72.10776650814603,-60.70844170769607,
4.2,24.43,1.2,-70.2571444956259,-46.136714545899586,-67.01219247644502,-51.811283525307815,-81.78072993149092
3.0,24.43,1.2,-58.49785943723898,-43.07145456492403,-66.421589900795,-55.89273550007608,-74.28333555561075
3.0,24.43,1.2,-61.71790358465638,-42.06807575894176,-67.08044600555772,-52.57613506193919,-78.89030045115388
3.0,24.43,1.2,-61.66864107999001,-37.2708595033899,-65.38261778696734,-51.317366854064694,
3.0,24.43,1.2,-68.0,-40.0,-68.6404683399582,-49.47128104620114,
3.0,24.43,1.2,-62.59637310505756,-38.0,-70.0,-51.88587392869641,
3.0,24.43,1.2,-60.286376259401024,-37.499583719693426,-68.93770090472083,-56.57169979816607,-77.5458436602239
3.0,24.43,1.2,-60.0,-37.24595133227496,-71.1233999126159,-52.247093655624106,-77.47128104620114
1.8,24.43,1.2,-55.6936525217336,-42.54298437026306,-69.33620947372845,-62.30065635515588,-79.19431228575323
1.8,24.43,1.2,-54.72759957154628,-43.0,-66.82794495850536,-62.72759957154627,-79.11174938615935
1.8,24.43,1.2,-58.926816216260924,-43.967513217404424,-68.07281992354783,-57.587357687188465,-81.30843835705681
1.8,24.43,1.2,,-51.0,-66.47128104620114,-58.640468339958204,-82.47128104620114
1.8,24.43,1.2,-59.16241031110505,-42.52724374661271,-67.0,-57.12123479737584,-79.176671466322
1.8,24.43,1.2,-63.60302191029647,-34.56153450298251,-72.72704511111071,-50.25509598784766,-79.01536469951455
1.8,24.43,1.2,-58.73209789143033,-43.27597682826333,-67.47185612003176,-49.49447434693303,-80.0
5.4,19.5,1.2,-76.0,-38.640468339958204,-53.72759957154628,-67.0,
5.4,19.5,1.2,-78.0,-43.47128104620114,-66.6404683399582,-63.0,-75.75836075684036
5.4,19.5,1.2,-73.35358297137634,-41.80282969025392,-64.04811733348971,-60.38412126083429,-73.93729504933123
5.4,19.5,1.2,-78.11367791079417,-54.30673714675244,-65.73499795610017,-66.72967729725738,-73.70758771723439
4.2,19.5,1.2,-69.76026496714405,-50.31258949045149,-65.86245729393949,-56.21415732184033,
4.2,19.5,1.2,-80.67363205192287,-47.86531363401735,-62.267783369959645,-58.96544617853169,-74.0
4.2,19.5,1.2,-72.54555797142076,-44.77836680691405,-67.42873682361393,-59.28730125842367,-72.10833714161338
4.2,19.5,1.2,-71.6900433623891,-47.24608299799732,-63.316922363197634,-58.20394402639089,-69.33925216530862
3.0,19.5,1.2,-69.38484174259457,-45.56894802280247,-63.67581253362075,-64.7231062411755,-84.0
3.0,19.5,1.2,-75.60428084128327,-46.60675372397559,-62.43928768284106,-63.60893072837436,-74.37284458955025
3.0,19.5,1.2,-65.58550368179228,-43.98686153788502,-61.80951332845431,-54.527489950633225,-77.22726734019825
3.0,19.5,1.2,-73.81291412373926,-45.237065834548076,-60.78416289974746,-58.12619455684577,-72.5463084386587
1.8,19.5,1.2,-64.73415567823294,-45.90959076505066,-55.677060532460175,-61.084039858634185,
1.8,19.5,1.2,-73.58770523032126,-38.58457564823874,-63.20617053018695,-58.78051393691678,-76.2813804927582
1.8,19.5,1.2,-72.97201158058382,-44.05686567942044,-58.27498165043025,-49.75748690592872,-76.38484174259457
1.8,19.5,1.2,-76.47128104620114,-52.379406915705864,-64.49454337712288,-56.785840966176934,-77.51251137953255
5.4,20.5,1.2,-76.0521500874217,-43.30209208001001,-54.29380931517827,-55.027961668632315,-80.47128104620114
5.4,20.5,1.2,-73.17777868455997,-45.56068832860767,-60.18260624826784,-53.27658991645982,-74.3102631047964
5.4,20.5,1.2,-76.1939244930697,-43.466377385914186,-68.40526801088177,-53.2022357105586,-80.21257283827794
5.4,20.5,1.2,-77.34111059975439,-42.44515962697234,-60.229250937780705,-64.52134879658584,-77.29466574924324
4.2,20.5,1.2,-73.83416851594238,-41.66208781323026,-55.16165015083632,-60.24467609060896,-75.76997462877809
4.2,20.5,1.2,-75.34280280009163,-44.407352678229884,-64.63201966190444,-57.85649860497817,-70.54671694450535
4.2,20.5,1.2,-71.0,-44.412147709426925,-63.86562759771536,-55.047401748382434,-75.0
4.2,20.5,1.2,-76.60512878546919,-50.4238747873958,-68.03320393736784,-62.78159000112011,-72.5164966603594
3.0,20.5,1.2,-69.30843835705681,-42.47128104620114,-60.72759957154627,-60.22645033799739,-69.43025578968134
3.0,20.5,1.2,-73.81554405702272,-48.73923911906671,-61.342762258353396,-62.1856651423588,-73.0
3.0,20.5,1.2,-66.57146947165698,-41.557388480418645,-58.358101300063254,-56.66956243675422,-74.23318937711923
3.0,20.5,1.2,-74.09606949208332,-55.41070180576278,-64.77921422730248,-56.42650554492418,-66.88759995904297
1.8,20.5,1.2,-62.6886378052864,-45.95266203855837,-60.49875055920858,-55.22005451852765,-71.59018344284497
1.8,20.5,1.2,-75.79314844901288,-43.84207504016965,-57.243052919301874,-60.79881225877458,-71.18282171207811
1.8,20.5,1.2,-67.16444949858074,-42.80153206193276,-63.275860299612525,-51.654204269137615,-72.06570958193656
1.8,20.5,1.2,-76.28357373708853,-47.29609154830123,-67.9385342254031,-60.09016607218211,-66.03932898117661
5.4,21.5,1.2,-72.23759310755408,-44.58084502853723,-54.34849741289704,-54.12208061365384,-67.33902828918637
5.4,21.5,1.2,-72.8191701292294,-49.200478898192024,-63.722506640990275,-52.88587392869641,-65.35833606806247
5.4,21.5,1.2,-79.75552011375507,-40.09879325221797,-65.3441309298295,-50.246693353184426,-66.89422926502662
5.4,21.5,1.2,-73.74367616990115,-47.57259106856736,-66.25027878750996,-66.86691829602805,-62.83771840562005
4.2,21.5,1.2,-64.41534538937286,-41.572000492889316,-65.678559687998,-60.711223378510766,-78.9141255178622
4.2,21.5,1.2,-63.47128104620114,-42.0,-66.47128104620114,-62.47128104620114,-80.0
4.2,21.5,1.2,-70.50105676109656,-48.99383991412422,-61.290776889671655,-62.82672577917937,-71.65481426922392
4.2,21.5,1.2,-70.99495001496014,-42.89895743132995,-62.10539858487704,-55.60911700962484,-69.41631891284183
4.2,21.5,1.2,-72.151323478716,-50.06459741355424,-63.613738369104894,-59.94384066527283,-65.04408222699732
3.0,21.5,1.2,-70.98019685149849,-48.83771840562006,-58.511000435486,-63.392679391960705,-75.4426186454759
3.0,21.5,1.2,-69.74072169697914,-48.7043136341694,-61.16156805600183,-58.08726900049331,-75.72759957154628
3.0,21.5,1.2,-71.23410842041775,-42.20053856747019,-59.907960437035996,-60.790035789026,-78.72759957154628
3.0,21.5,1.2,-76.0,-49.97120839407856,-67.78001659303669,-54.71428803219223,-69.93482521263248
1.8,21.5,1.2,-74.59324791524573,-45.38544312934451,-57.91693770173177,-51.18390986319369,-79.94256209240228
1.8,21.5,1.2,-68.16267856636206,-44.61939199700619,-61.68710003940825,-54.29466574924324,-78.5277711016772
1.8,21.5,1.2,-70.56385370841734,-33.12756819340423,-64.0396651124421,-51.23429715869456,-74.04967409622178
1.8,21.5,1.2,-72.02326115649568,-46.777845792592174,-67.7538330947792,-55.16637357398608,
5.4,15.21,1.2,-67.0,-48.0,-50.640468339958204,-65.0,
5.4,15.21,1.2,-68.01475939440918,-49.24540446243767,-50.41256384923342,-69.45958416889805,-74.0
5.4,15.21,1.2,-69.02886596834418,-52.57003895884761,-54.59326290263717,-63.222945601125346,-71.16543976484881
5.4,15.21,1.2,-78.7104964132446,-52.53638905388151,-55.48223671113418,-64.87939759281308,-70.26428305900605
4.2,15.21,1.2,-67.45850187556141,-41.91726395565613,-50.65279012384999,-67.9845471061149,-77.96456378805526
4.2,15.21,1.2,-67.6294561923913,-51.061128711588886,-56.95995143750252,-67.12716902438734,-79.71012765536503
4.2,15.21,1.2,-68.20042043383702,-43.82300939869934,-63.86510334968715,-65.4599943505631,-79.77971940325796
4.2,15.21,1.2,-73.9354869619076,-45.035811522988915,-62.281021611158216,-63.85739094657099,-67.287227921769
3.0,15.21,1.2,-70.48772623832838,-45.765920063063064,-58.96363514961852,-60.26048580913222,-77.0
3.0,15.21,1.2,-75.51186218140262,-45.83450863033046,-57.74646504251609,-65.00092232243935,-77.27144515209659
3.0,15.21,1.2,-73.40642467504834,-41.38431021301304,-58.8229760485163,-63.72878512971968,-79.83921316538633
3.0,15.21,1.2,-71.57200049288932,-50.16872120408982,-66.47128104620114,-65.06218190679895,
1.8,15.21,1.2,-67.42344577309373,-46.22987554557207,-54.24025849747174,-64.80031543240004,-77.0
1.8,15.21,1.2,-65.11229476489095,-45.91608002621845,-64.25793750682229,-62.78643791556608,-76.26135488859077
1.8,15.21,1.2,-68.26700313614532,-40.91922543887389,-55.74866436474494,-57.432377175804135,-73.09082773964377
1.8,15.21,1.2,-65.37868533710744,-52.93420543990395,-60.957668279673456,-66.47128104620114,-74.88587392869641
5.4,16.21,1.2,-70.57832569725545,-50.35991818558854,-50.44504374915607,-60.497560528561394,-70.40905928590063
5.4,16.21,1.2,-72.24732881336257,-47.02626298427708,-52.82510644021889,-65.4017179827228,-77.3309687394613
5.4,16.21,1.2,-67.0,-49.51770735729341,-54.0994325247033,-64.71529356764962,
5.4,16.21,1.2,-77.0,-51.37284458955024,-48.780729931490924,-61.21707731228422,-69.87202340922298
4.2,16.21,1.2,-62.058386863107586,-40.776781535675624,-59.636060049936304,-67.50221263725392,-72.45431297920477
4.2,16.21,1.2,-69.9286766472749,-47.452611418830756,-54.75288215311114,-61.55603836043623,-70.60835564781031
4.2,16.21,1.2,-66.94319533742649,-46.565986022825996,-56.52479535619696,-61.224723937909815,-72.69704911142989
4.2,16.21,1.2,-68.61625374698073,-48.438560512432744,-55.450652806830625,-64.4630849996035,-72.54849952426738
3.0,16.21,1.2,-60.76463860520551,-43.101344047203895,-53.17723482039782,-67.07118884053136,
3.0,16.21,1.2,,-42.0,-55.0,-61.0,
3.0,16.21,1.2,-69.72142831491075,-39.43446018956105,-53.33127103957932,-69.59096921558714,-73.87560412432481
3.0,16.21,1.2,-69.66718582707836,-49.49074488967791,-59.63375825751563,-63.68626452113329,-72.9951791684379
1.8,16.21,1.2,-67.51218584634778,-47.69198644799212,-55.39829800740637,-64.17150006600403,-79.32345698656886
1.8,16.21,1.2,-65.80810640304341,-43.248702653249254,-53.276496387766194,-69.54559906671528,-73.18341191271637
1.8,16.21,1.2,-69.8791599051345,-44.20888160736859,-57.83599018189504,-56.824648234604986,-76.3514365664135
1.8,16.21,1.2,-69.75521455223193,-47.308459282310544,-61.001447530587,-59.010935127157026,-74.12024284766561
5.4,17.21,1.2,-76.72759957154628,-45.12075961320684,-47.2277474785346,-69.77701648477418,-79.277377996602
5.4,17.21,1.2,-77.51251137953255,-45.5402204186729,-59.57751328213547,-66.25774502065264,-77.65476080169611
5.4,17.21,1.2,-68.56594605474211,-46.02476602768328,-52.30206077685764,-57.60095176545506,-81.0019601693705
5.4,17.21,1.2,-71.59623433375893,-47.62434762395584,-54.19456368612903,-65.90357363139991,-80.7369729890857
4.2,17.21,1.2,-71.04811733348971,-42.13444850789183,-45.1777960376645,-66.32909966441636,-75.16872120408982
4.2,17.21,1.2,-73.04465518098027,-41.62324991726909,-48.138246885820344,-60.85649860497817,-73.04810219424371
4.2,17.21,1.2,-74.58590424753825,-46.577156897169054,-50.71071574188946,-63.17762285105026,-75.38931161624109
4.2,17.21,1.2,-69.11962073324551,-44.53734113922579,-56.53924262346162,-62.84683690336033,-71.22805045958104
3.0,17.21,1.2,-68.90440207675555,-41.595358910220355,-57.57699792501063,-59.53787990433696,-75.54095351586395
3.0,17.21,1.2,-71.61532308949398,-47.861804816212945,-58.67056076185051,-66.71698808822137,-75.82852645995469
3.0,17.21,1.2,-65.89664933139038,-42.760277399473196,-55.59333925723042,-58.426703115762564,
3.0,17.21,1.2,-64.98845148578619,-43.04984792225131,-55.0886258060953,-60.045634801924336,-77.0
1.8,17.21,1.2,-62.3570537982271,-42.26301175859077,-58.86854037695814,-66.45836587380339,-75.10084831705032
1.8,17.21,1.2,-74.1605614552018,-48.26473353227666,-59.967474623410475,-62.06384112193128,-76.80915481499642
1.8,17.21,1.2,-73.62170959600792,-53.800741397202565,-61.34909217301513,-62.451703042640204,
1.8,17.21,1.2,-69.35435352021287,-53.14862488187715,-60.71461541795732,-67.46936229897427,-73.52694767808197
5.4,11.67,1.2,-63.70593202232492,-59.5317049130944,-49.783438417783316,-72.64856782677677,-78.91413058192853
5.4,11.67,1.2,-69.80641761425125,-53.97377804222192,-48.09334080017493,-67.58333710361056,-75.81470743318654
5.4,11.67,1.2,-66.31936979823332,-57.276930997232284,-56.0022803209701,-69.4192838170517,-76.88587392869641
5.4,11.67,1.2,-71.04322326191273,-59.96352854326611,-54.89504063428744,-73.26237570535291,
4.2,11.67,1.2,-59.461468618813214,-56.5375228605766,-51.75375816368348,-71.0,
4.2,11.67,1.2,-66.32715765228578,-51.699139098521705,-56.29810085506814,-69.87335055070179,
